,Emotion_Affect,id,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
288,Nervous,KTGF549,-0.03494282789,0.001221001221,1.848422751,1.583333333,3.416666667,-0.02815485168,0.8396670115
289,Nervous,KTGF550,0.1209282919,0.01462365177,1.394433378,1.092592593,1.944444444,0.005327648486,0.2125144752
290,Nervous,KTGF553,0.3686450267,0.1358991557,1.331988569,1.064516129,1.774193548,0.126403542,0.0002769709348
291,Nervous,KTGF556,0.017182169,0.0002952269317,1.256234453,0.984375,1.578125,-0.0158290436,0.8928031492
292,Nervous,KTGF557,0.315964762,0.0998337308,1.287592613,1.052631579,1.657894737,0.08766932176,0.005427886993
293,Nervous,KTGF561,0.1181392844,0.01395689052,1.288057029,1.090909091,1.659090909,0.002491272965,0.2729724498
294,Nervous,KTGF562,0.2385965756,0.0569283259,1.273829466,0.9433962264,1.622641509,0.04786032903,0.01377573209
295,Nervous,KTGF565,-0.2629273696,0.06913080169,1.179535649,0.9130434783,1.391304348,0.04797468354,0.0774979689
296,Nervous,KTGF570,0.122109989,0.01491084941,1.58113883,1.375,2.5,-0.006504132124,0.4083487139
297,Nervous,KTGF572,0.2068214232,0.04277510108,1.224744871,0.8793103448,1.5,0.02568179931,0.1193015386
298,Interested,K23101,0.3626233792,0.1314957152,2.47033684,2.282051282,6.102564103,0.1200680272,0.00110353389
299,Interested,K23104,0.0776728746,0.006033075449,1.390443574,1.177777778,1.933333333,-0.005262003239,0.4668158339
300,Interested,K23106,0.1690999696,0.02859479971,1.808101427,1.384615385,3.269230769,0.009166695704,0.2307581288
301,Interested,K23107,0.126655277,0.01604155919,1.947589137,1.75862069,3.793103448,-0.00152912725,0.3434335563
302,Interested,K23109,0.1061909626,0.01127652054,2.147349788,1.988888889,4.611111111,4.10E-05,0.3191753895
303,Interested,K23114,-0.4722936453,0.2230612874,2.053342693,1.621621622,4.216216216,0.2008630385,0.003162694225
304,Interested,K23115,-0.06146530229,0.003777983386,1.732050808,1.447761194,3,-0.01154850918,0.6212251803
305,Interested,K23117,0.2568273197,0.06596027217,1.378803431,1.065934066,1.901098901,0.05546544376,0.01399159556
306,Interested,K23120,0.3365284644,0.1132514074,0.8697184926,0.6282051282,0.7564102564,0.1015836627,0.002590665721
307,Interested,K23121,-0.1074912804,0.01155437536,1.586984095,1.296296296,2.518518519,-0.007454194347,0.4391323416
308,Interested,K23122,-0.1332577832,0.01775763679,1.098588436,0.8620689655,1.206896552,-0.01862170999,0.49073994
309,Interested,K23125,0.1757563753,0.03089030347,1.646914924,1.287671233,2.712328767,0.01724087112,0.136922565
310,Interested,K23126,0.02993499555,0.0008961039587,1.720307955,1.445945946,2.959459459,-0.01298033904,0.8001266094
311,Interested,K23128,-0.0620317132,0.003847933443,1.780654854,1.463414634,3.170731707,-0.02169442724,0.7000264675
312,Interested,K23129,-0.1418758135,0.02012874647,1.088400379,0.8461538462,1.184615385,0.004575234506,0.2595906905
313,Interested,K23130,0.5317206903,0.2827268925,1.2188988,0.9714285714,1.485714286,0.2609913438,0.001011949317
314,Interested,K23131,0.185879005,0.03455100449,1.691765044,1.436781609,2.862068966,0.02319278101,0.08475408847
315,Interested,K23133,0.247148289,0.06108227674,1.118033989,0.8333333333,1.25,0.04766916641,0.03634838916
316,Interested,K23134,0.025,0.000625,2.006088294,1.731707317,4.024390244,-0.025,0.8767016791
317,Interested,K23136,-0.0512234859,0.002623845508,1.238904242,1.023255814,1.534883721,-0.02170240216,0.7442645141
318,Interested,K23139,-0.04231427998,0.00179049829,1.983402203,1.73553719,3.933884298,-0.00659781685,0.6449190519
319,Interested,K23141,-0.03550556929,0.00126064545,1.167748416,0.974025974,1.363636364,-0.01205587928,0.7591777034
320,Interested,K23142,0.1532872882,0.02349699273,1.718634255,1.472222222,2.953703704,0.01428470021,0.1132284488
