"X","Variable","Importance","Participant"
"K23106.34","Affect",0.001707641,"K23106"
"K23107.23","Affect",0.001946655,"K23107"
"K23109.24","Affect",0.001304889,"K23109"
"K23114.27","Affect",0.012317616,"K23114"
"K23115.29","Affect",0.016573194,"K23115"
"K23117.27","Affect",0.00274877,"K23117"
"K23121.32","Affect",0.001584667,"K23121"
"K23122.27","Affect",0.002462754,"K23122"
"K23125.36","Affect",0.003030146,"K23125"
"K23126.28","Affect",0.004905836,"K23126"
"K23128.34","Affect",0.001606732,"K23128"
"K23130.31","Affect",0.004522246,"K23130"
"K23131.24","Affect",0.004245157,"K23131"
"K23133.38","Affect",0.001367963,"K23133"
"K23134.39","Affect",0.00016,"K23134"
"K23136.35","Affect",0.002652124,"K23136"
"K23143.23","Affect",0.001279226,"K23143"
"K23144.29","Affect",0.005037103,"K23144"
"K23145.32","Affect",0.002029156,"K23145"
"K23148.33","Affect",0.002768848,"K23148"
"K23150.26","Affect",0.003698779,"K23150"
"K23151.32","Affect",0.005852821,"K23151"
"K23153.33","Affect",0.027705574,"K23153"
"K23156.20","Affect",0.000474545,"K23156"
"K23502.26","Affect",0.002222907,"K23502"
"K23503.33","Affect",0.014829826,"K23503"
"K23507.25","Affect",0.000877489,"K23507"
"K23508.26","Affect",0.010753881,"K23508"
"K23509.34","Affect",0.004479121,"K23509"
"K23510.35","Affect",0.003991247,"K23510"
"K23517.31","Affect",0.005102844,"K23517"
"K23521.33","Affect",0.019883279,"K23521"
"K23526.28","Affect",0.007840746,"K23526"
"K23529.33","Affect",0.020739667,"K23529"
"K23531.30","Affect",0.018675161,"K23531"
"K23532.36","Affect",0.006072368,"K23532"
"K23533.27","Affect",0.010340269,"K23533"
"K23536.29","Affect",0.000648667,"K23536"
"K23537.36","Affect",0.002800304,"K23537"
"K23540.31","Affect",0.003021203,"K23540"
"K23541.29","Affect",0.003284933,"K23541"
"K23548.35","Affect",0.018444758,"K23548"
"K23551.26","Affect",0.012238498,"K23551"
"K23552.34","Affect",0.007671663,"K23552"
"K23555.33","Affect",0.004977481,"K23555"
"K23556.30","Affect",0.003030595,"K23556"
"K23557.36","Affect",0.003173725,"K23557"
"K23559.26","Affect",0.011461469,"K23559"
"K23563.30","Affect",0.007071156,"K23563"
"K23565.34","Affect",0.003653241,"K23565"
"KTFG534.34","Affect",0.010976509,"KTFG534"
"KTGF118.34","Affect",0.00243018,"KTGF118"
"KTGF120.35","Affect",0.004946575,"KTGF120"
"KTGF122.29","Affect",0.006918375,"KTGF122"
"KTGF124.33","Affect",0.009588021,"KTGF124"
"KTGF125.35","Affect",0.002482359,"KTGF125"
"KTGF127.26","Affect",0.002906686,"KTGF127"
"KTGF130.28","Affect",0.00120137,"KTGF130"
"KTGF136.22","Affect",0.012150731,"KTGF136"
"KTGF138.28","Affect",0.002552392,"KTGF138"
"KTGF142.37","Affect",0.009429374,"KTGF142"
"KTGF143.35","Affect",0.003630194,"KTGF143"
"KTGF146.27","Affect",0.006992553,"KTGF146"
"KTGF147.28","Affect",0.002464509,"KTGF147"
"KTGF148.34","Affect",0.006661135,"KTGF148"
"KTGF153.29","Affect",0.002964095,"KTGF153"
"KTGF154.28","Affect",0.001976282,"KTGF154"
"KTGF156.34","Affect",0.006113813,"KTGF156"
"KTGF157.25","Affect",0.003274261,"KTGF157"
"KTGF158.33","Affect",0.004066761,"KTGF158"
"KTGF527.40","Affect",0.003457468,"KTGF527"
"KTGF528.34","Affect",0.00272465,"KTGF528"
"KTGF533.30","Affect",0.005892329,"KTGF533"
"KTGF540.32","Affect",0.000968389,"KTGF540"
"KTGF544.36","Affect",0.004006958,"KTGF544"
"KTGF545.31","Affect",0.002879367,"KTGF545"
"KTGF549.39","Affect",0.007615759,"KTGF549"
"KTGF550.26","Affect",0.005045451,"KTGF550"
"KTGF553.27","Affect",0.009000993,"KTGF553"
"KTGF556.35","Affect",0.003422281,"KTGF556"
"KTGF557.31","Affect",0.043915345,"KTGF557"
"KTGF561.33","Affect",0.003493939,"KTGF561"
"KTGF562.25","Affect",0.003083856,"KTGF562"
"KTGF565.35","Affect",0.00320429,"KTGF565"
"KTGF570.25","Affect",0.000314167,"KTGF570"
"KTGF572.25","Affect",0.002036424,"KTGF572"
"K23101.24","Affiliation",0.00502494,"K23101"
"K23106.25","Affiliation",0.000913782,"K23106"
"K23109.22","Affiliation",0.004126193,"K23109"
"K23114.24","Affiliation",0.006769869,"K23114"
"K23115.24","Affiliation",0.001211065,"K23115"
"K23117.22","Affiliation",0.011550326,"K23117"
"K23120.21","Affiliation",0.007490034,"K23120"
"K23121.25","Affiliation",0.007790765,"K23121"
"K23122.23","Affiliation",0.013544812,"K23122"
"K23125.26","Affiliation",0.002123349,"K23125"
"K23126.24","Affiliation",0.001867525,"K23126"
"K23128.27","Affiliation",0.004209073,"K23128"
"K23130.24","Affiliation",0.005384952,"K23130"
"K23133.28","Affiliation",0.002283954,"K23133"
"K23134.28","Affiliation",4.68e-05,"K23134"
"K23136.27","Affiliation",0.006121349,"K23136"
"K23142.19","Affiliation",0.002818962,"K23142"
"K23144.25","Affiliation",0.00840585,"K23144"
"K23145.26","Affiliation",0.001273333,"K23145"
"K23148.25","Affiliation",0.003083491,"K23148"
"K23150.22","Affiliation",0.005089705,"K23150"
"K23151.25","Affiliation",0.006729197,"K23151"
"K23153.25","Affiliation",0.001935778,"K23153"
"K23155.23","Affiliation",0.001341008,"K23155"
"K23503.25","Affiliation",0.009641744,"K23503"
"K23508.21","Affiliation",0.001442345,"K23508"
"K23509.25","Affiliation",0.0013685,"K23509"
"K23510.26","Affiliation",0.003038307,"K23510"
"K23517.26","Affiliation",0.023990471,"K23517"
"K23521.25","Affiliation",0.016237347,"K23521"
"K23526.23","Affiliation",0.014318821,"K23526"
"K23529.26","Affiliation",0.008408444,"K23529"
"K23531.23","Affiliation",0.003687097,"K23531"
"K23532.28","Affiliation",0.005674943,"K23532"
"K23533.24","Affiliation",0.004074954,"K23533"
"K23536.23","Affiliation",0.006738678,"K23536"
"K23537.26","Affiliation",0.004311478,"K23537"
"K23540.26","Affiliation",0.007628784,"K23540"
"K23541.24","Affiliation",0.00306868,"K23541"
"K23548.26","Affiliation",0.00787633,"K23548"
"K23551.21","Affiliation",0.006670236,"K23551"
"K23552.26","Affiliation",0.00414171,"K23552"
"K23555.26","Affiliation",0.001289524,"K23555"
"K23556.25","Affiliation",0.001864667,"K23556"
"K23557.26","Affiliation",0.001377206,"K23557"
"K23559.21","Affiliation",0.006319653,"K23559"
"K23563.26","Affiliation",0.001544741,"K23563"
"K23565.26","Affiliation",0.00037959,"K23565"
"KTFG534.25","Affiliation",0.004619903,"KTFG534"
"KTGF118.26","Affiliation",0.002513,"KTGF118"
"KTGF120.26","Affiliation",0.004444895,"KTGF120"
"KTGF122.25","Affiliation",0.004751553,"KTGF122"
"KTGF124.26","Affiliation",0.005648447,"KTGF124"
"KTGF125.26","Affiliation",0.003295216,"KTGF125"
"KTGF127.22","Affiliation",0.003209077,"KTGF127"
"KTGF136.19","Affiliation",0.005499651,"KTGF136"
"KTGF138.23","Affiliation",0.000273412,"KTGF138"
"KTGF142.27","Affiliation",0.003064545,"KTGF142"
"KTGF143.26","Affiliation",0.00098013,"KTGF143"
"KTGF146.23","Affiliation",0.009773572,"KTGF146"
"KTGF147.24","Affiliation",0.005516491,"KTGF147"
"KTGF148.26","Affiliation",0.003929056,"KTGF148"
"KTGF153.24","Affiliation",0.001177986,"KTGF153"
"KTGF154.24","Affiliation",0.001220431,"KTGF154"
"KTGF156.26","Affiliation",0.004198931,"KTGF156"
"KTGF158.27","Affiliation",0.006871155,"KTGF158"
"KTGF527.29","Affiliation",0.01240527,"KTGF527"
"KTGF528.26","Affiliation",0.001946325,"KTGF528"
"KTGF533.25","Affiliation",0.006799593,"KTGF533"
"KTGF540.26","Affiliation",0.001595741,"KTGF540"
"KTGF544.27","Affiliation",0.003449972,"KTGF544"
"KTGF549.29","Affiliation",0.001743111,"KTGF549"
"KTGF550.22","Affiliation",0.008637568,"KTGF550"
"KTGF556.26","Affiliation",0.009840031,"KTGF556"
"KTGF557.25","Affiliation",0.00775136,"KTGF557"
"KTGF561.25","Affiliation",0.006245689,"KTGF561"
"KTGF562.21","Affiliation",0.005089463,"KTGF562"
"KTGF565.26","Affiliation",0.004577464,"KTGF565"
"KTGF572.22","Affiliation",0.00574308,"KTGF572"
"K23106.28","Allnone",0.003164833,"K23106"
"K23114.26","Allnone",0.020490554,"K23114"
"K23122.26","Allnone",0.003605218,"K23122"
"K23125.29","Allnone",0.003323525,"K23125"
"K23130.28","Allnone",0.004507333,"K23130"
"K23134.31","Allnone",2.44e-21,"K23134"
"K23139.24","Allnone",0.002165191,"K23139"
"K23142.22","Allnone",0.009743981,"K23142"
"K23153.28","Allnone",0.000255556,"K23153"
"K23155.25","Allnone",0.004223087,"K23155"
"K23502.24","Allnone",0.001208996,"K23502"
"K23510.28","Allnone",0.00500936,"K23510"
"K23517.29","Allnone",0.007819787,"K23517"
"K23536.26","Allnone",0.000208,"K23536"
"K23537.28","Allnone",0.000778913,"K23537"
"K23540.28","Allnone",0.001066013,"K23540"
"K23541.26","Allnone",0.0011576,"K23541"
"K23548.29","Allnone",0.003834799,"K23548"
